bowler,date,location,game_num,throwdata_avail,score,strike_cnt,spare_cnt,foul_cnt,f1_t1,f1_t2,f2_t1,f2_t2,f3_t1,f3_t2,f4_t1,f4_t2,f5_t1,f5_t2,f6_t1,f6_t2,f7_t1,f7_t2,f8_t1,f8_t2,f9_t1,f9_t2,f10_t1,f10_t2,f10_t3
jeriah,4-24-2024,union,1,TRUE,104,1,2,0,5,2,3,1,10,,8,0,6,1,9,1,7,0,8,2,9,0,3,5,
nick,4-24-2024,union,2,TRUE,124,3,1,0,9,0,10,,10,,8,0,0,6,6,2,5,2,10,,6,1,3,7,6
nathan,4-24-2024,union,2,TRUE,126,2,2,0,3,5,9,1,8,1,5,2,10,,10,,5,3,8,0,9,0,3,7,6
arpan,4-24-2024,union,2,TRUE,93,3,0,0,7,0,10,,10,,0,6,4,0,3,3,6,2,8,0,0,0,10,6,2
preston,4-24-2024,union,2,TRUE,82,0,1,0,7,1,3,7,1,7,9,0,8,0,6,0,1,8,7,0,6,1,0,9,
jasper,4-24-2024,union,2,TRUE,114,2,2,0,7,0,7,3,10,,10,,0,9,8,0,1,8,5,0,9,1,0,7,
jeriah,4-24-2024,union,2,TRUE,109,1,2,0,7,2,0,1,7,1,4,4,7,3,10,,8,0,9,1,9,0,9,0,
nick,4-24-2024,union,3,TRUE,107,3,1,0,7,0,9,0,10,,7,3,3,0,7,0,10,,10,,1,3,9,0,
nathan,4-24-2024,union,3,TRUE,134,1,5,0,9,1,9,1,1,9,4,3,9,1,10,,6,3,1,7,2,6,9,1,9
arpan,4-24-2024,union,3,TRUE,70,0,1,0,7,0,7,1,6,0,9,0,7,3,1,5,2,0,0,6,7,0,1,7,
preston,4-24-2024,union,3,TRUE,76,0,2,0,8,0,1,1,3,6,8,0,6,4,1,1,5,0,4,0,9,0,7,3,8
jasper,4-24-2024,union,3,TRUE,65,0,1,0,0,6,3,0,9,0,2,0,0,9,0,10,0,1,8,0,8,1,1,7,
jeriah,4-24-2024,union,3,TRUE,138,3,3,0,4,6,9,1,7,2,5,4,10,,7,0,8,0,6,3,8,2,10,10,3
jeriah,4-25-2024,union,1,TRUE,106,0,3,0,8,2,1,7,7,3,6,3,7,2,9,0,9,1,7,2,9,0,8,1,
arpan,4-25-2024,union,1,TRUE,101,0,2,0,3,6,8,0,9,1,7,0,7,2,9,0,3,7,9,0,8,0,5,1,
nick,4-25-2024,union,1,TRUE,86,2,0,0,7,1,9,0,10,,10,,3,0,3,0,3,5,6,0,1,5,7,0,
nathan,4-25-2024,union,1,TRUE,96,1,1,0,4,5,8,2,3,3,8,1,8,1,6,2,8,1,6,2,7,1,10,7,0
jeriah,4-25-2024,union,2,TRUE,126,1,3,0,4,4,9,0,5,5,10,,9,1,7,2,8,0,1,8,8,1,6,4,7
arpan,4-25-2024,union,2,TRUE,80,0,2,0,0,5,8,0,1,5,5,4,8,2,5,3,7,1,1,9,3,4,1,0,
nick,4-25-2024,union,2,TRUE,74,1,0,0,9,0,7,1,10,,0,8,7,0,0,6,0,3,0,6,1,0,0,8,
nathan,4-25-2024,union,2,TRUE,118,1,3,0,9,1,7,2,6,0,7,0,4,4,1,8,10,,9,0,9,1,9,1,5
nick,4-25-2024,union,3,TRUE,108,1,2,0,6,4,8,1,4,1,8,0,7,0,1,5,10,,9,0,8,2,8,1,
arpan,4-25-2024,union,3,TRUE,112,1,2,0,4,5,10,,9,1,9,0,0,10,7,1,5,0,9,0,7,2,7,0,
sridhar,4-25-2024,union,3,TRUE,106,1,2,0,4,0,8,0,0,7,7,0,9,0,10,,3,7,7,2,6,0,6,4,9
nathan,4-25-2024,union,3,TRUE,104,1,2,0,0,10,9,0,8,0,4,5,10,,9,0,9,1,1,1,3,6,9,0,
nick,4-25-2024,union,4,TRUE,85,2,1,0,10,,7,1,10,,7,0,9,0,3,0,6,0,0,0,5,1,9,1,1
arpan,4-25-2024,union,4,TRUE,79,1,0,0,6,2,9,0,10,,0,7,7,2,8,0,3,4,6,0,0,5,1,2,
sridhar,4-25-2024,union,4,TRUE,79,0,0,0,8,0,8,0,9,0,0,8,8,0,9,0,8,0,3,5,8,0,1,4,
nathan,4-25-2024,union,4,TRUE,124,2,2,0,1,8,5,2,3,4,7,2,10,,9,0,9,1,7,2,10,,9,1,8
nick,4-26-2024,union,1,TRUE,132,3,2,0,6,3,10,,10,,3,3,8,2,5,2,1,7,10,,8,2,9,0,
nathan,4-26-2024,union,1,TRUE,137,2,3,0,1,8,3,5,5,5,10,,10,,6,2,7,3,5,3,8,0,9,1,7
sridhar,4-26-2024,union,1,TRUE,79,1,0,0,8,1,0,1,10,,8,0,7,1,8,0,1,0,8,0,9,0,9,0,
arpan,4-26-2024,union,1,TRUE,91,0,3,0,0,7,7,3,1,7,7,3,7,0,9,1,7,0,1,8,6,2,0,0,
noah,4-26-2024,union,1,TRUE,142,3,4,0,10,,8,2,7,3,7,3,7,0,10,,9,1,10,,0,3,7,1,
nick,4-26-2024,union,2,TRUE,121,0,5,0,7,3,3,6,7,0,8,2,7,3,7,3,6,4,7,2,9,0,7,0,
nathan,4-26-2024,union,2,TRUE,114,2,1,0,10,,7,2,3,4,9,0,9,0,10,,5,4,5,4,8,2,7,0,
sridhar,4-26-2024,union,2,TRUE,87,1,1,0,1,9,8,0,6,1,7,1,0,0,3,4,0,7,10,,6,2,0,6,
noah,4-26-2024,union,2,TRUE,90,1,1,0,5,0,8,1,10,,8,2,8,1,9,0,0,5,3,0,8,0,1,3,
nick,4-29-2024,union,1,TRUE,127,3,1,0,1,7,7,1,6,3,7,2,10,,10,,8,0,0,10,7,2,10,3,0
nathan,4-29-2024,union,1,TRUE,123,3,1,0,8,1,10,,9,1,6,1,10,,10,,4,4,8,1,3,5,3,1,
noah,4-29-2024,union,1,TRUE,118,1,3,0,4,4,1,9,7,3,7,1,9,0,8,1,7,1,8,2,7,1,10,7,0
sridhar,4-29-2024,union,1,TRUE,109,3,0,0,0,8,7,2,10,,9,0,10,,3,6,8,1,1,0,10,,0,8,
arpan,4-29-2024,union,1,TRUE,110,2,2,0,0,8,1,9,9,0,8,2,3,0,10,,8,0,10,,8,0,5,1,
nick,4-29-2024,union,2,TRUE,112,1,2,0,9,0,1,6,3,6,0,9,9,0,8,1,0,5,10,,0,10,9,1,6
nathan,4-29-2024,union,2,TRUE,141,2,5,0,9,1,6,0,9,1,6,4,8,1,9,1,10,,9,0,3,5,6,4,10
peyton,4-29-2024,union,2,TRUE,86,1,2,0,6,4,1,6,9,0,3,4,10,,8,2,3,1,2,0,5,3,5,0,
noah,4-29-2024,union,2,TRUE,121,3,1,0,5,1,6,2,7,1,10,,7,2,3,1,10,,8,2,0,9,10,10,8
sridhar,4-29-2024,union,2,TRUE,88,1,1,0,9,0,8,2,7,0,7,2,8,0,6,3,10,,1,5,0,3,1,3,
arpan,4-29-2024,union,2,TRUE,95,1,1,0,7,1,9,1,8,1,10,,1,6,1,6,8,0,5,3,6,0,1,6,
nick,4-29-2024,union,3,TRUE,89,1,1,0,0,5,8,0,0,1,0,7,6,0,0,8,5,3,10,,9,1,7,2,
nathan,4-29-2024,union,3,TRUE,170,3,5,0,7,3,10,,1,6,10,,9,1,10,,9,0,9,1,8,2,10,5,5
peyton,4-29-2024,union,3,TRUE,110,0,4,0,0,7,8,2,9,0,9,1,3,6,7,3,5,4,4,6,5,0,6,3,
noah,4-29-2024,union,3,TRUE,86,1,0,0,10,,7,0,9,0,8,0,7,0,5,2,7,2,3,3,9,0,7,0,
ben,4-29-2024,union,3,TRUE,107,1,1,0,9,1,8,0,8,0,5,4,9,0,7,2,10,,0,9,8,1,3,6,
arpan,4-29-2024,union,3,TRUE,163,4,3,0,0,1,6,4,10,,7,2,9,1,7,3,10,,10,,10,,5,1,
