bowler,date,location,game_num,throwdata_avail,score,strike_cnt,spare_cnt,foul_cnt,f1_t1,f1_t2,f2_t1,f2_t2,f3_t1,f3_t2,f4_t1,f4_t2,f5_t1,f5_t2,f6_t1,f6_t2,f7_t1,f7_t2,f8_t1,f8_t2,f9_t1,f9_t2,f10_t1,f10_t2,f10_t3
faith,2-15-2024,elmwood,1,TRUE,77,0,2,0,9,0,1,9,9,0,8,0,7,0,9,0,5,0,1,0,6,4,0,0,
nick,2-15-2024,elmwood,1,TRUE,137,2,3,0,0,3,1,7,7,3,10,,7,3,9,1,10,,8,0,1,7,9,1,3
faith,2-15-2024,elmwood,2,TRUE,79,1,0,0,0,8,8,0,8,0,0,4,5,0,10,,8,0,8,0,0,3,9,0,
nick,2-15-2024,elmwood,2,TRUE,,0,1,0,9,0,8,0,7,0,1,1,0,0,0,6,6,1,9,1,8,1,8,1,
nathan,2-19-2024,union,1,TRUE,147,5,1,0,10,,10,,3,6,10,,6,1,10,,4,5,6,4,9,0,10,4,2
nathan,2-19-2024,union,2,TRUE,108,1,2,0,7,2,9,1,7,1,8,2,4,4,0,9,9,0,10,,8,0,8,0,
nick,2-19-2024,union,3,TRUE,110,2,1,0,9,0,9,0,10,,0,7,1,5,10,,8,0,9,0,8,0,9,1,9
nick,2-19-2024,union,4,TRUE,101,2,1,0,7,0,8,0,10,,5,1,3,6,7,0,10,,7,3,0,9,7,2,
